"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/shift.router.js", "JavaScript", 0, 11, 0, 3, 14
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/tips.router.js", "JavaScript", 0, 1, 0, 0, 1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/App/App.jsx", "JavaScript JSX", 4, 0, 0, 1, 5
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/HoursConfirmation/HoursConfirmation.jsx", "JavaScript JSX", 2, 0, 0, -1, 1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/TipOutPage/TipOutPage.jsx", "JavaScript JSX", 90, 0, 0, 21, 111
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/TipsConfirmation/TipsConfirmation.jsx", "JavaScript JSX", 47, 0, 2, 11, 60
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserPage/UserPage.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/_root.reducer.js", "JavaScript", 0, -2, 0, 0, -2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/currentShift.reducer.js", "JavaScript", 0, -9, 0, -1, -10
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/shifts.saga.js", "JavaScript", 0, 13, 0, 2, 15
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/tips.saga.js", "JavaScript", 0, -1, 0, 0, -1
"Total", "-", 144, 13, 2, 36, 195
