"filename", "language", "JavaScript", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/TODO.md", "Markdown", 0, 0, 1, 0, 1, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/drawers.router.js", "JavaScript", 13, 0, 0, 15, 6, 34
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/hours.router.js", "JavaScript", -1, 0, 0, 0, 0, -1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/shift.router.js", "JavaScript", -1, 0, 0, 0, 0, -1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/tips.router.js", "JavaScript", 34, 0, 0, -1, 9, 42
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/Pages/ShiftSetup/ShiftSetup.jsx", "JavaScript JSX", 0, 3, 0, 0, 1, 4
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/Pages/TipOutPage/TipOutPage.jsx", "JavaScript JSX", 0, 3, 0, 1, 1, 5
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/Pages/TipsConfirmation/TipsConfirmation.jsx", "JavaScript JSX", 0, -25, 0, 0, 2, -23
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/EditTable/EditTable.jsx", "JavaScript JSX", 0, 29, 0, 0, 7, 36
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/EditTipsTable/EditTipsTable.jsx", "JavaScript JSX", 0, 164, 0, 2, 29, 195
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/_root.reducer.js", "JavaScript", 2, 0, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/bartenders.reducer.js", "JavaScript", 3, 0, 0, 0, 0, 3
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/shiftDrawers.reducer.js", "JavaScript", 10, 0, 0, 0, 1, 11
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/drawers.saga.js", "JavaScript", 10, 0, 0, 0, 2, 12
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/shifts.saga.js", "JavaScript", 1, 0, 0, 0, 0, 1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/tips.saga.js", "JavaScript", 23, 0, 0, 0, 6, 29
"Total", "-", 94, 174, 1, 17, 65, 351
